ADR_SECTEUR,ANNEEDEPLANTATION,ANNEEREALISATIONDIAGNOSTIC,ANNEETRAVAUXPRECONISESDIAG,DIAMETREARBREAUNMETRE,ESPECE,FREQUENTATIONCIBLE,GENRE_BOTA,NOTEDIAGNOSTIC,PRIORITEDERENOUVELLEMENT,SOUS_CATEGORIE_DESC,STADEDEDEVELOPPEMENT,STADEDEVELOPPEMENTDIAG,TRAVAUXPRECONISESDIAG,TROTTOIR,VIGUEUR,coord_x,coord_y,DEFAUT,Collet,Houppier,Racine,Tronc
region5,2014,2014,2019,15,cordata,passages fréquents ou arrêts,Alnus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre jeune,Arbre jeune,Controle,non,vigoureux,1915370.622,4222836.775,non,non,non,non,non
region3,2004,2013,2016,35,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,inconnu,non,vigoureux,1913250.438,4222531.231,non,non,non,non,non
region3,2004,2014,2014,15,grandiflora,passages fréquents ou arrêts,Magnolia,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Controle,oui,vigoureux,1913086.976,4223524.473,non,non,non,non,non
region2,2004,2014,2014,45,japonica,passages fréquents et arrêts fréquents,Sophora,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille mise en sécurité,oui,vigoureux,1914186.694,4224275.035,oui,non,oui,oui,non
region1,2004,2013,2016,25,americana,passages fréquents et arrêts fréquents,Fraxinus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,inconnu,oui,vigoureux,1912974.905,4225210.237,non,non,non,non,non
region3,2004,2015,2018,45,abies,passages fréquents et arrêts fréquents,Picea,Arbre à abattre dans les 5 ans, 1-5,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Controle résistographe,non,vigoureux,1912600.385,4222098.286,oui,oui,non,non,non
region6,2004,2013,2020,35,excelsior,passages fréquents et arrêts fréquents,Fraxinus,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille de bois mort,non,vigoureux,1914849.604,4222164.656,non,non,non,non,non
region2,2004,2014,2014,35,nigra,passages fréquents et arrêts fréquents,Populus,Arbre à abattre dans les 10 ans, 11-20,Arbre despaces ouverts,Arbre adulte,Arbre vieillissant,Taille de bois mort,non,vieillissement dépérissement,1914402.662,4224091.57,oui,non,oui,non,non
region2,2004,2013,2016,45,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,inconnu,oui,vigoureux,1915052.464,4224643.422,non,non,non,non,non
region5,2004,2015,2017,45,inconnu,passages fréquents ou arrêts,Acer,Arbre davenir incertain, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille de bois mort,non,vigoureux,1915322.212,4224679.87,oui,non,oui,non,non
region3,2009,2015,2016,15,inconnu,passages fréquents ou arrêts,Tilia,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre jeune,inconnu,non,vigoureux,1913048.172,4222114.92,non,non,non,non,non
region4,2004,2014,2014,45,tomentosa,passages fréquents et arrêts fréquents,Tilia,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille rideau,oui,vigoureux,1914626.254,4223904.356,oui,non,oui,non,non
region5,2004,2013,2016,25,japonica,passages fréquents et arrêts fréquents,Sophora,Arbre davenir incertain, 11-20,Arbre de voirie,Arbre adulte,Arbre adulte,Taille déclaircie,oui,vigoureux,1914914.588,4222701.065,non,non,non,non,non
region1,2005,2015,2018,15,verrucosa,passages fréquents et arrêts fréquents,Betula,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre jeune,Taille formation et mise au gabarit,non,vigoureux,1913274.045,4223605.477,non,non,non,non,non
region3,2004,2015,2020,25,inconnu,passages fréquents et arrêts fréquents,Carpinus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,oui,vigoureux,1912687.848,4222887.302,oui,non,oui,non,non
region3,2004,2015,2016,15,styraciflua,passages fréquents et arrêts fréquents,Liquidambar,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre jeune,inconnu,oui,vigoureux,1913312.031,4223589.216,non,non,non,non,non
region4,2004,2013,2016,25,pseudoplatanus,passages fréquents et arrêts fréquents,Acer,Arbre davenir normal, 11-20,Arbre de voirie,Arbre adulte,Arbre adulte,inconnu,non,vigueur intermédiaire,1914993.596,4222812.802,non,non,non,non,non
region4,2004,2015,2016,25,japonica,passages fréquents et arrêts fréquents,Sophora,Arbre à abattre dans les 5 ans, 1-5,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Abattage,non,vieillissement dépérissement,1914017.065,4222361.242,oui,non,non,non,oui
region4,2009,2013,2016,5,retusus,passages fréquents et arrêts fréquents,Chionanthus,Arbre davenir normal, 11-20,Arbre de voirie,Arbre jeune,Arbre jeune,inconnu,non,vigoureux,1914384.743,4223660.165,non,non,non,non,non
region4,2004,2013,2018,35,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,oui,vigoureux,1913628.884,4222635.302,non,non,non,non,non
region5,2006,2015,2018,115,nigra,passages fréquents ou arrêts,Populus,Arbre davenir incertain, 20-50,Arbre despaces ouverts,Arbre vieillissant,Arbre vieillissant,Taille formation et mise au gabarit,non,vigoureux,1915539.351,4224585.118,oui,non,oui,non,non
region3,2004,2014,2014,5,verrucosa,passages fréquents et arrêts fréquents,Betula,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre jeune,Controle tuteur attache ou protection,non,vigoureux,1912829.624,4221453.72,non,non,non,non,non
region5,2004,2013,2016,35,nigra,passages fréquents ou arrêts,Pinus,Arbre davenir incertain, 11-20,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille de bois mort,non,vigueur intermédiaire,1914904.759,4222666.735,non,non,non,non,non
region4,2004,2013,2014,35,tomentosa,passages fréquents et arrêts fréquents,Tilia,Arbre davenir normal, 11-20,Arbre de voirie,Arbre adulte,Arbre adulte,Taille rideau,oui,vigoureux,1914819.935,4223842.41,non,non,non,non,non
region2,2004,2014,2014,15,pseudoplatanus,passages fréquents et arrêts fréquents,Acer,Arbre davenir incertain, 11-20,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille de bois mort,non,vigueur intermédiaire,1914295.406,4224064.676,oui,non,oui,non,non
region4,2004,2013,2016,45,arizonica,passages fréquents et arrêts fréquents,Cupressus,Arbre davenir normal, 11-20,Arbre de voirie,Arbre adulte,Arbre adulte,inconnu,oui,vigoureux,1914295.043,4223282.559,non,non,non,non,non
region4,2004,2014,2015,105,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille de bois mort,non,vigoureux,1913808.297,4223133.558,oui,non,oui,non,non
region2,2004,2015,2016,25,nigra,passages fréquents et arrêts fréquents,Pinus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,inconnu,non,vigoureux,1915031.611,4224841.005,non,non,non,non,non
region1,2004,2014,2014,15,cordata,passages fréquents et arrêts fréquents,Tilia,Arbre davenir incertain, 11-20,Arbre de voirie,Arbre adulte,Arbre adulte,Controle,non,vigoureux,1913321.33,4224510.272,oui,non,non,non,oui
region2,2004,2014,2016,45,tulipifera,passages fréquents et arrêts fréquents,Liriodendron,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,inconnu,non,vigoureux,1915342.687,4225711.095,non,non,non,non,non
region5,2004,2013,2016,35,nigra,quelques passages,Pinus,Arbre davenir incertain, 11-20,Arbre despaces ouverts,Arbre adulte,Arbre adulte,inconnu,non,inconnu,1915907.113,4223808.486,non,non,non,non,non
region6,2004,2014,2014,35,acerifolia,passages fréquents et arrêts fréquents,Platanus,Arbre davenir normal, 20-50,Arbre de voirie,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,oui,vigoureux,1914093.661,4221349.608,non,non,non,non,non
region3,2004,2014,2016,15,carica,passages fréquents et arrêts fréquents,Ficus,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,inconnu,non,vigueur intermédiaire,1913003.854,4223022.44,non,non,non,non,non
region3,2004,2013,2016,75,japonica,passages fréquents et arrêts fréquents,Sophora,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,inconnu,non,vigoureux,1912626.474,4222020.089,non,non,non,non,non
region6,2004,2015,2018,15,siliquastrum,passages fréquents et arrêts fréquents,Cercis,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,non,vigoureux,1914710.847,4221660.582,oui,non,non,non,oui
region2,2004,2014,2017,45,betulus,passages fréquents et arrêts fréquents,Carpinus,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille de bois mort,non,vigoureux,1915106.161,4224950.695,non,non,non,non,non
region3,2004,2014,2014,35,nigra,passages fréquents et arrêts fréquents,Pinus,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre adulte,Arbre adulte,Taille formation et mise au gabarit,non,vigoureux,1913007.51,4223049.938,non,non,non,non,non
region3,2009,2013,2016,15,australis,passages fréquents et arrêts fréquents,Celtis,Arbre davenir normal, 20-50,Arbre despaces ouverts,Arbre jeune,Arbre jeune,inconnu,non,vigoureux,1912627.67,4221726.278,non,non,non,non,non
